Campeonato,Data_Jogo,Time_Casa,Time_Visitante,Casa_Odd_1,Odd_1,Stake_Odd_1_R$,Casa_Odd_X,Odd_X,Stake_Odd_X_R$,Casa_Odd_2,Odd_2,Stake_Odd_2_R$,Indice_Arbitragem,Eh_Surebet,Lucro_Percentual_%,Lucro_Estimado_R$,Banca_Total_R$
Brasileirão Série B,28/07 19:30,PONTE PRETA,ATHLETIC CLUB MG,Matchbook,4.00,249.29,Betfair,3.40,293.29,Matchbook,2.18,457.42,1.00,NAO,-0.28,-2.83,1000.00
Brasileirão Série B,28/07 19:30,JUVENTUDE,AVAI,Betfair,1.78,560.02,Unibet (NL),3.45,288.94,Matchbook,6.60,151.04,1.00,NAO,-0.32,-3.16,1000.00
Brasileirão Série A,29/07 21:30,FLUMINENSE,BAHIA,Matchbook,1.85,538.19,Coolbet,3.85,258.61,Matchbook,4.90,203.20,1.00,NAO,-0.43,-4.34,1000.00
Brasileirão Série A,29/07 21:30,VITORIA,PALMEIRAS,Matchbook,4.50,220.65,Smarkets,3.45,287.80,GTbets,2.02,491.55,1.01,NAO,-0.71,-7.08,1000.00
Brasileirão Série A,29/07 19:30,INTERNACIONAL,FLAMENGO,Matchbook,4.40,225.53,Betfair,3.70,268.19,Matchbook,1.96,506.28,1.01,NAO,-0.77,-7.69,1000.00
Brasileirão Série B,28/07 21:35,FORTALEZA,BOTAFOGO,Smarkets,1.88,526.68,Unibet (NL),3.50,282.90,Smarkets,5.20,190.42,1.01,NAO,-0.98,-9.84,1000.00
Brasileirão Série A,30/07 21:30,CORITIBA,CRUZEIRO,Smarkets,3.55,278.74,Coolbet,3.40,291.04,Betfair,2.30,430.23,1.01,NAO,-1.05,-10.48,1000.00
Brasileirão Série A,30/07 19:30,CORINTHIANS,ATHLETICO-PR,Betfair,1.99,495.68,Betfair,3.35,294.45,Betfair,4.70,209.87,1.01,NAO,-1.36,-13.60,1000.00
Brasileirão Série A,29/07 19:30,MIRASSOL,REMO,Coolbet,1.75,562.21,Smarkets,3.80,258.91,Matchbook,5.50,178.88,1.02,NAO,-1.61,-16.14,1000.00
Brasileirão Série A,08/08 21:00,BOTAFOGO,FLUMINENSE,1xBet,2.73,357.31,Coolbet,3.50,278.71,1xBet,2.68,363.98,1.03,NAO,-2.45,-24.53,1000.00
Brasileirão Série A,08/08 18:30,REMO,ATLETICO-MG,1xBet,2.96,328.01,Coolbet,3.30,294.21,1xBet,2.57,377.78,1.03,NAO,-2.91,-29.10,1000.00
Brasileirão Série A,09/08 18:30,SANTOS,ATHLETICO-PR,1xBet,2.45,394.83,Coolbet,3.30,293.13,Codere (IT),3.10,312.04,1.03,NAO,-3.27,-32.67,1000.00
Brasileirão Série A,08/08 20:30,CORITIBA,CHAPECOENSE,1xBet,1.57,615.59,FanDuel,4.10,235.72,FanDuel,6.50,148.69,1.03,NAO,-3.35,-33.53,1000.00
Brasileirão Série A,09/08 16:00,PALMEIRAS,INTERNACIONAL,1xBet,1.57,615.35,Coolbet,4.00,241.52,Coolbet,6.75,143.13,1.04,NAO,-3.39,-33.90,1000.00
Brasileirão Série A,09/08 16:00,BAHIA,VASCO,1xBet,1.84,524.40,Coolbet,3.75,257.30,1xBet,4.42,218.30,1.04,NAO,-3.51,-35.11,1000.00
Brasileirão Série A,08/08 16:00,GREMIO,SAO PAULO,1xBet,2.43,396.79,Coolbet,3.30,292.18,Coolbet,3.10,311.03,1.04,NAO,-3.58,-35.80,1000.00
Brasileirão Série A,09/08 19:30,FLAMENGO,VITORIA,1xBet,1.30,739.97,LeoVegas,5.50,174.90,1xBet,11.30,85.13,1.04,NAO,-3.80,-38.04,1000.00
Brasileirão Série A,09/08 18:30,RED BULL BRAGANTINO,CORINTHIANS,1xBet,2.20,437.04,Coolbet,3.30,291.36,1xBet,3.54,271.60,1.04,NAO,-3.85,-38.52,1000.00
Brasileirão Série A,09/08 11:00,CRUZEIRO,MIRASSOL,Coolbet,1.78,539.36,Coolbet,3.60,266.68,Nordic Bet,4.95,193.95,1.04,NAO,-3.99,-39.93,1000.00
